Player Name 1618,Predicted Points,Actual Points
Aaron Cresswell,25.341627737691958,24
Aaron Lennon,61.08391998496872,62
Aaron Mooy,72.09894005546734,60
Aaron Ramsey,78.64439013809618,77
Aaron Wan-Bissaka,28.16061115891948,24
Abdelhamid Sabiri,75.80558548369831,80
Abdoulaye Doucouré,87.59261872816114,81
Adam Lallana,5.153393984452248,3
Adam Smith,81.74072229225408,89
Adama Traoré,87.27849115648563,91
Ademola Lookman,98.28102108895,99
Adrian Mariappa,12.800525092056729,10
Adrien Sebastian Perruchet Silva,83.61405691011485,90
Adrián San Miguel del Castillo,90.31649168399522,98
Ainsley Maitland-Niles,3.2967937432566954,0
Alberto Moreno,31.004730058696275,34
Aleksandar Mitrovic,18.17590299036428,19
Alex Iwobi,175.4955384605334,166
Alex McCarthy,215.40725565006795,205
Alex Oxlade-Chamberlain,10.057913435201986,10
Alex Pritchard,5.796899116047682,4
Alexander Sørloth,6.300444837903492,4
Alexandre Lacazette,71.02904184029948,63
Alexis Sánchez,42.363741831224985,46
Alfie Mawson,48.013526902719576,40
Alfie Whiteman,102.99188481962011,85
Ander Herrera,48.07311205294417,44
Anders Lindegaard,64.98782121348454,70
Andre Gray,7.4445175365499185,5
Andreas Christensen,133.8420155754871,120
Andreas Pereira,16.968122935253096,10
Andrew Robertson,3.2609340044268293,0
Andrew Surman,40.07284340236349,36
Andros Townsend,48.9255623686817,56
Andy Carroll,47.156361790345194,54
Angel Gomes,26.245183251964505,33
Angelo Ogbonna,20.371234372295415,22
Angus Gunn,185.5098882581994,181
Anthony Knockaert,3.6329155401073274,1
Anthony Martial,188.78292799874583,168
Antonio Rüdiger,15.442112133217451,28
Antonio Valencia,149.09737551704472,141
Arthur Masuaku,4.535145521482587,4
Artur Boruc,41.89158644112087,34
Ashley Barnes,13.390434548215918,15
Ashley Westwood,3.408258475894871,2
Ashley Williams,3.153354787937232,0
Ashley Young,3.153354787937232,0
Asmir Begovic,100.92609011740211,104
Aymeric Laporte,96.2839700265923,91
Ayoze Pérez,111.61434258683299,115
Bakary Sako,47.62505892016748,46
Bamidele Alli,56.86174274218556,48
Ben Davies,4.695323557621461,0
Ben Foster,3.834689825704682,0
Ben Gibson,62.84935945452406,74
Ben Hamer,66.63507226562098,65
Ben Johnson,30.619620939507698,36
Ben Mee,89.93683240487167,94
Beni Baningime,76.10071980294187,80
Benjamin Chilwell,73.16174329819451,72
Benjamin Mendy,31.590509379380865,31
