full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,id
Aaron Cresswell,1,9,178,5184,95,847.4000000000001,997.8000000000001,314.0,11,947,216.2,15,1,9,3.5,897
Aaron Lennon,0,5,87,2415,35,296.6,310.2,351.0,0,308,95.6,8,0,2,0.4,295
Aaron Mooy,4,3,113,3066,52,848.8,753.2,350.0,8,576,195.2,10,0,4,4.7,172
Aaron Ramsdale,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,1226
Aaron Ramsey,8,14,186,3080,45,839.5,888.4000000000001,1230.0,15,743,295.5,13,0,3,5.6,34
Aaron Wan-Bissaka,0,0,15,627,10,60.0,207.2,2.0,0,116,26.8,2,0,1,0.0,1191
Abdelhamid Sabiri,0,1,10,217,5,40.6,30.8,53.0,0,30,12.4,1,0,1,0.0,522
Abdoulaye Doucouré,8,4,174,4676,95,774.0,1038.4,791.0,16,905,260.8,13,0,14,11.0,896
Abdul Rahman Baba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,80
Abel Hernández,4,4,72,1425,23,190.4,219.4,532.0,6,208,93.6,4,0,0,0.9,163
Adam Clayton,0,2,70,2804,45,323.3,454.6,71.0,0,427,84.8,10,0,10,0.8,283
Adam Federici,0,0,8,180,3,0.0,34.4,0.0,1,37,3.5,1,0,1,2.3000000000000003,61
Adam Forshaw,0,2,77,2695,36,511.6,275.6,240.0,3,401,102.5,9,0,4,0.4,286
Adam Lallana,8,7,152,2572,33,806.4,712.0,953.0,14,580,246.8,10,0,4,9.4,433
Adam Legzdins,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,545
Adam Matthews,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,345
Adam Reach,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,285
Adam Smith,2,8,160,5168,99,855.3,1021.6,386.0,15,1021,226.6,10,0,12,7.4,69
Adama Diomande,2,0,42,1171,29,195.4,141.0,259.0,2,127,58.7,2,0,1,3.6,164
Adama Traoré,0,1,52,1543,22,320.5,283.2,176.0,2,264,77.9,6,0,1,0.1,563
Ademola Lookman,1,1,26,442,8,36.0,67.8,236.0,0,63,33.6,1,0,0,0.1,784
Adlène Guédioura,0,1,26,861,20,169.2,123.6,100.0,0,131,38.7,0,0,2,0.1,415
Adnan Januzaj,0,3,49,1628,38,470.8,226.2,364.0,0,158,106.4,3,1,3,0.5,261
Adrian Mariappa,0,0,73,2768,56,72.1,624.6,132.0,5,499,82.9,7,0,4,5.300000000000001,961
Adrien Sebastian Perruchet Silva,0,2,23,760,18,120.0,133.2,65.0,0,128,31.8,1,0,3,0.0,589
Adrián San Miguel del Castillo,0,0,136,3150,54,10.0,838.2,0.0,11,685,84.7,12,0,3,4.1,888
Ahmed El-Sayed Hegazi,2,0,114,3386,55,99.5,962.8,196.0,11,646,126.1,10,0,4,17.8,468
Ahmed Elmohamady,0,2,62,2523,63,428.6,464.4,108.0,1,428,99.9,3,1,3,0.2,158
Ahmed Musa,2,0,39,761,20,120.8,132.6,232.0,5,131,47.7,1,0,1,3.4,394
Aiden O'Neill,0,0,3,85,4,5.1,7.6,8.0,0,16,2.1,0,0,0,0.0,1154
Ainsley Maitland-Niles,0,0,26,910,16,141.3,170.6,67.0,0,165,38.0,3,0,1,0.1,1139
Albert Adomah,0,0,3,122,2,20.5,8.4,33.0,0,6,6.0,0,0,0,0.0,281
Alberto Moreno,0,2,67,1569,26,328.4,326.4,138.0,4,407,79.2,6,0,2,2.5999999999999996,408
Aleix García Serrano,0,0,4,77,2,19.1,14.0,0.0,0,25,3.4,0,0,0,0.0,578
Aleksandar Dragovic,0,0,28,766,14,3.6,177.8,35.0,0,166,21.8,4,0,2,0.1,541
Aleksandar Kolarov,1,1,95,2535,27,296.4,639.0,223.0,7,558,116.0,9,0,6,3.1,463
Aleksandar Mitrovic,1,0,10,89,0,44.7,48.2,73.0,0,37,16.6,0,0,0,0.6,303
Alex Baptiste,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,522
Alex Bruce,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,154
Alex Iwobi,6,10,178,3283,46,1060.7,756.4,1227.0,10,778,304.29999999999995,18,0,2,2.1,42
Alex McCarthy,0,0,52,1620,26,0.0,280.8,0.0,3,278,28.1,4,0,2,0.9,406
Alex Oxlade-Chamberlain,5,14,177,3282,50,1145.0,983.4,910.0,8,816,304.0,9,0,4,3.6,37
Alex Palmer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,1158
Alex Pike,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,608
Alex Pritchard,1,2,40,997,12,300.3,173.6,213.0,3,168,68.7,3,0,1,0.1,994
Alexander Manninger,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,524
Alexander Sørloth,0,0,8,360,9,74.0,48.6,102.0,0,25,22.5,0,0,0,0.1,620
Alexandre Lacazette,14,5,138,2197,28,566.0,725.6,1291.0,11,543,258.0,10,0,1,7.6,28
Alexis Sánchez,33,21,416,5763,73,2433.5,2181.0,3177.0,45,1349,779.5,24,0,11,32.7,26
Alfie Mawson,6,1,206,5850,101,148.4,1526.4,556.0,16,1203,223.60000000000002,16,0,4,6.0,915
Alfie Whiteman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,566
Alfred N'Diaye,1,0,34,1273,30,98.3,158.8,137.0,2,177,39.1,4,0,7,0.8,644
Ali Gabr,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,610
Allan McGregor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,146
Allan-Roméo Nyom,0,3,144,4944,79,481.0,915.6,132.0,12,826,152.6,12,0,15,2.4000000000000004,834
Almen Abdi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,417
Ander Herrera,1,8,141,3722,32,950.1999999999999,887.6,377.0,11,788,221.89999999999998,18,1,10,3.5,540
Anders Lindegaard,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,554
Andre Gray,14,6,187,3746,63,574.2,666.8,1242.0,14,540,245.60000000000002,13,0,3,5.3,160
Andrea Ranocchia,2,2,55,1330,31,39.0,444.4,158.0,9,299,64.2,3,0,2,1.3,638
Andreas Christensen,0,0,79,2067,23,66.5,466.6,109.0,4,475,64.3,8,0,0,1.9,470
Andreas Pereira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,739
Andrew Eleftheriou,0,0,0,52,2,0.8,5.2,0.0,0,4,0.6,0,0,0,0.0,605
Andrew Robertson,2,7,184,4676,77,767.3,926.6,274.0,16,1002,196.89999999999998,15,0,7,9.3,627
Andrew Surman,2,6,126,3651,67,484.90000000000003,714.8,211.0,9,651,141.0,9,1,3,3.2,80
Andros Townsend,5,16,237,5640,86,1864.5,1178.4,1098.0,23,1044,414.1,16,0,7,3.6,251
André Ayew,9,8,166,3273,67,516.5,643.8,934.0,7,506,208.3,9,0,6,2.0,823
André Carrillo,1,3,64,1529,31,331.2,271.2,300.0,4,275,90.3,4,0,2,0.0,527
Andy Carroll,10,3,105,2054,40,331.0,497.20000000000005,964.0,12,362,178.0,6,1,8,2.3,925
Andy King,4,1,92,2693,52,239.60000000000002,498.2,371.0,2,442,111.1,2,0,6,3.7,379
Angel Gomes,0,0,1,3,0,3.8,0.8,0.0,0,2,0.5,0,0,0,0.0,680
Angel Rangel,1,0,30,985,27,144.8,246.0,56.0,1,218,44.8,1,0,1,7.5,714
Angelo Ogbonna,1,0,122,4635,91,163.8,1072.1999999999998,196.0,6,842,143.0,11,0,5,4.1,900
Angus Gunn,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,668
Anthony Knockaert,3,1,88,2415,29,557.2,404.0,530.0,6,383,149.1,11,1,4,0.6,62
Anthony Martial,13,12,220,3125,26,908.4000000000001,918.2,1327.0,16,705,315.7,18,0,3,5.1,547
Antonio Barragán,0,0,71,2193,32,219.0,442.2,50.0,8,455,71.5,7,0,5,1.0,477
Antonio Martinez Lopez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,567
Antonio Rüdiger,2,1,115,2336,22,83.0,546.6,217.0,8,557,84.8,12,0,4,3.3,103
Antonio Valencia,4,4,266,5224,42,1053.3,1106.4,502.0,22,1272,266.1,28,0,12,24.1,517
Arouna Koné,0,0,6,78,3,19.6,7.8,22.0,0,17,4.9,0,0,0,0.7,144
Arthur Masuaku,0,4,102,2839,53,421.8,604.8,146.0,9,605,117.1,9,0,6,1.3,951
Artur Boruc,0,0,120,3150,63,10.0,815.4,0.0,7,657,82.4,9,0,2,7.5,59
Ashley Barnes,15,3,173,3924,50,551.9000000000001,736.0,1460.0,19,531,271.3,11,1,16,7.5,163
Ashley Fletcher,0,0,16,367,13,64.2,30.6,160.0,0,33,24.4,0,0,2,0.6000000000000001,994
Ashley Westwood,0,1,48,1656,26,199.10000000000002,233.2,92.0,1,257,52.5,3,0,5,0.1,729
Ashley Williams,2,3,183,4990,71,158.1,1445.6,421.0,12,1071,202.8,18,2,10,10.799999999999999,502
Ashley Young,2,7,124,3204,32,669.3,748.6,274.0,12,633,169.2,13,0,9,2.5,537
Asmir Begovic,0,0,114,3600,66,20.0,804.0,0.0,6,648,82.1,6,0,2,4.3,103
Axel Tuanzebe,0,0,15,304,4,27.7,32.6,18.0,0,72,7.8,2,0,0,1.4000000000000001,928
Aymeric Laporte,0,0,35,806,5,52.8,165.8,34.0,2,204,25.4,4,0,1,1.5,612
Ayoze Pérez,8,6,124,2486,28,539.0,571.8,809.0,15,420,191.7,8,0,3,6.5,302
Bacary Sagna,0,1,55,1346,14,152.1,223.2,53.0,3,316,42.8,6,0,2,1.7,224
Bafétimbi Gomis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,377
Baily Cargill,0,0,1,13,0,0.0,4.2,0.0,0,5,0.4,0,0,0,0.0,649
Bakary Sako,3,0,43,608,15,134.7,165.0,259.0,1,144,55.599999999999994,1,0,0,0.1,249
Bamidele Alli,27,24,400,5993,50,1657.2,1744.8000000000002,2204.0,29,1244,560.5,33,0,11,46.099999999999994,786
Bartosz Kapustka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,497
Bastian Schweinsteiger,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,265
Ben Davies,3,10,233,4062,33,1148.4,1062.0,357.0,19,1058,256.8,20,0,4,27.099999999999998,767
Ben Foster,0,0,236,6750,106,40.3,1483.8,5.0,15,1264,153.3,16,0,4,22.0,851
Ben Gibson,1,1,121,3420,53,55.7,818.4,248.0,14,682,112.2,11,0,4,8.8,278
Ben Hamer,0,0,9,274,7,0.0,51.8,0.0,0,54,5.1,1,0,0,0.1,773
Ben Hinchcliffe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,545
Ben Johnson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,573
