full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,id
Aaron Cresswell,1,9,178,5184,95,847.4000000000001,997.8000000000001,314.0,11,947,216.2,15,1,9,3.5,897
Aaron Lennon,0,5,87,2415,35,296.6,310.2,351.0,0,308,95.6,8,0,2,0.4,295
Aaron Mooy,4,3,113,3066,52,848.8,753.2,350.0,8,576,195.2,10,0,4,4.7,172
Aaron Ramsey,8,14,186,3080,45,839.5,888.4000000000001,1230.0,15,743,295.5,13,0,3,5.6,34
Aaron Wan-Bissaka,0,0,15,627,10,60.0,207.2,2.0,0,116,26.8,2,0,1,0.0,1191
Abdelhamid Sabiri,0,1,10,217,5,40.6,30.8,53.0,0,30,12.4,1,0,1,0.0,522
Abdoulaye Doucouré,8,4,174,4676,95,774.0,1038.4,791.0,16,905,260.8,13,0,14,11.0,896
Adam Lallana,8,7,152,2572,33,806.4,712.0,953.0,14,580,246.8,10,0,4,9.4,433
Adam Smith,2,8,160,5168,99,855.3,1021.6,386.0,15,1021,226.6,10,0,12,7.4,69
Adama Traoré,0,1,52,1543,22,320.5,283.2,176.0,2,264,77.9,6,0,1,0.1,563
Ademola Lookman,1,1,26,442,8,36.0,67.8,236.0,0,63,33.6,1,0,0,0.1,784
Adrian Mariappa,0,0,73,2768,56,72.1,624.6,132.0,5,499,82.9,7,0,4,5.300000000000001,961
Adrien Sebastian Perruchet Silva,0,2,23,760,18,120.0,133.2,65.0,0,128,31.8,1,0,3,0.0,589
Adrián San Miguel del Castillo,0,0,136,3150,54,10.0,838.2,0.0,11,685,84.7,12,0,3,4.1,888
Ainsley Maitland-Niles,0,0,26,910,16,141.3,170.6,67.0,0,165,38.0,3,0,1,0.1,1139
Alberto Moreno,0,2,67,1569,26,328.4,326.4,138.0,4,407,79.2,6,0,2,2.5999999999999996,408
Aleksandar Mitrovic,1,0,10,89,0,44.7,48.2,73.0,0,37,16.6,0,0,0,0.6,303
Alex Iwobi,6,10,178,3283,46,1060.7,756.4,1227.0,10,778,304.29999999999995,18,0,2,2.1,42
Alex McCarthy,0,0,52,1620,26,0.0,280.8,0.0,3,278,28.1,4,0,2,0.9,406
Alex Oxlade-Chamberlain,5,14,177,3282,50,1145.0,983.4,910.0,8,816,304.0,9,0,4,3.6,37
Alex Pritchard,1,2,40,997,12,300.3,173.6,213.0,3,168,68.7,3,0,1,0.1,994
Alexander Sørloth,0,0,8,360,9,74.0,48.6,102.0,0,25,22.5,0,0,0,0.1,620
Alexandre Lacazette,14,5,138,2197,28,566.0,725.6,1291.0,11,543,258.0,10,0,1,7.6,28
Alexis Sánchez,33,21,416,5763,73,2433.5,2181.0,3177.0,45,1349,779.5,24,0,11,32.7,26
Alfie Mawson,6,1,206,5850,101,148.4,1526.4,556.0,16,1203,223.60000000000002,16,0,4,6.0,915
Alfie Whiteman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,566
Ander Herrera,1,8,141,3722,32,950.1999999999999,887.6,377.0,11,788,221.89999999999998,18,1,10,3.5,540
Anders Lindegaard,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,554
Andre Gray,14,6,187,3746,63,574.2,666.8,1242.0,14,540,245.60000000000002,13,0,3,5.3,160
Andreas Christensen,0,0,79,2067,23,66.5,466.6,109.0,4,475,64.3,8,0,0,1.9,470
Andreas Pereira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,739
Andrew Robertson,2,7,184,4676,77,767.3,926.6,274.0,16,1002,196.89999999999998,15,0,7,9.3,627
Andrew Surman,2,6,126,3651,67,484.90000000000003,714.8,211.0,9,651,141.0,9,1,3,3.2,80
Andros Townsend,5,16,237,5640,86,1864.5,1178.4,1098.0,23,1044,414.1,16,0,7,3.6,251
Andy Carroll,10,3,105,2054,40,331.0,497.20000000000005,964.0,12,362,178.0,6,1,8,2.3,925
Angel Gomes,0,0,1,3,0,3.8,0.8,0.0,0,2,0.5,0,0,0,0.0,680
Angelo Ogbonna,1,0,122,4635,91,163.8,1072.1999999999998,196.0,6,842,143.0,11,0,5,4.1,900
Angus Gunn,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,668
Anthony Knockaert,3,1,88,2415,29,557.2,404.0,530.0,6,383,149.1,11,1,4,0.6,62
Anthony Martial,13,12,220,3125,26,908.4000000000001,918.2,1327.0,16,705,315.7,18,0,3,5.1,547
Antonio Rüdiger,2,1,115,2336,22,83.0,546.6,217.0,8,557,84.8,12,0,4,3.3,103
Antonio Valencia,4,4,266,5224,42,1053.3,1106.4,502.0,22,1272,266.1,28,0,12,24.1,517
Arthur Masuaku,0,4,102,2839,53,421.8,604.8,146.0,9,605,117.1,9,0,6,1.3,951
Artur Boruc,0,0,120,3150,63,10.0,815.4,0.0,7,657,82.4,9,0,2,7.5,59
Ashley Barnes,15,3,173,3924,50,551.9000000000001,736.0,1460.0,19,531,271.3,11,1,16,7.5,163
Ashley Westwood,0,1,48,1656,26,199.10000000000002,233.2,92.0,1,257,52.5,3,0,5,0.1,729
Ashley Williams,2,3,183,4990,71,158.1,1445.6,421.0,12,1071,202.8,18,2,10,10.799999999999999,502
Ashley Young,2,7,124,3204,32,669.3,748.6,274.0,12,633,169.2,13,0,9,2.5,537
Asmir Begovic,0,0,114,3600,66,20.0,804.0,0.0,6,648,82.1,6,0,2,4.3,103
Aymeric Laporte,0,0,35,806,5,52.8,165.8,34.0,2,204,25.4,4,0,1,1.5,612
Ayoze Pérez,8,6,124,2486,28,539.0,571.8,809.0,15,420,191.7,8,0,3,6.5,302
Bakary Sako,3,0,43,608,15,134.7,165.0,259.0,1,144,55.599999999999994,1,0,0,0.1,249
Bamidele Alli,27,24,400,5993,50,1657.2,1744.8000000000002,2204.0,29,1244,560.5,33,0,11,46.099999999999994,786
Ben Davies,3,10,233,4062,33,1148.4,1062.0,357.0,19,1058,256.8,20,0,4,27.099999999999998,767
Ben Foster,0,0,236,6750,106,40.3,1483.8,5.0,15,1264,153.3,16,0,4,22.0,851
Ben Gibson,1,1,121,3420,53,55.7,818.4,248.0,14,682,112.2,11,0,4,8.8,278
Ben Hamer,0,0,9,274,7,0.0,51.8,0.0,0,54,5.1,1,0,0,0.1,773
Ben Johnson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,573
Ben Mee,1,2,184,5625,76,168.2,1638.6,630.0,12,1083,244.0,18,0,10,9.5,133
Beni Baningime,0,0,7,192,2,3.8,9.4,0.0,0,20,1.3,0,0,1,0.0,563
Benjamin Chilwell,1,2,84,2547,48,380.5,519.8,151.0,4,517,105.2,7,1,3,3.3000000000000003,692
Benjamin Mendy,0,1,20,360,1,139.3,84.2,48.0,1,96,27.2,2,0,2,0.4,484
Beram Kayal,0,0,25,735,14,137.0,111.2,48.0,0,115,29.6,1,0,2,0.1,64
Bernardo Mota Veiga de Carvalho e Silva,6,5,112,1514,10,508.7,475.6,464.0,8,440,144.4,9,0,0,1.4,256
Brahim Diaz,0,0,5,50,1,5.6,6.8,53.0,0,14,6.6,0,0,0,0.0,493
Bruno Saltor Grau,0,0,84,2014,23,174.1,360.4,35.0,8,423,57.2,10,0,3,0.8,58
Callum Hudson-Odoi,0,0,2,27,1,1.7,8.8,27.0,0,11,3.8,0,0,0,0.0,583
Callum Wilson,14,3,165,3342,58,414.09999999999997,621.2,1286.0,15,452,229.7,12,0,0,5.6,97
Calum Chambers,2,1,106,3114,51,147.0,920.0,214.0,7,670,128.2,9,0,5,3.8,491
Carl Jenkinson,0,0,2,82,1,2.0,19.4,0.0,0,12,2.1,0,0,0,0.30000000000000004,18
Cenk Tosun,5,0,55,984,13,226.4,232.4,304.0,9,192,75.6,4,0,0,2.1,592
Cesc Fàbregas,7,19,210,3640,40,2231.1,1348.8,810.0,21,1068,439.0,15,1,12,6.4,188
Chancel Mbemba,0,0,20,670,11,67.1,158.2,6.0,3,133,23.2,1,0,0,10.1,494
Charlie Austin,13,2,134,1958,23,223.70000000000002,577.0,1262.0,19,433,205.60000000000002,10,0,3,3.2,640
Charlie Daniels,5,6,228,6061,103,1008.0,1280.4,498.0,18,1279,278.8,16,0,1,16.5,67
Charlie Taylor,0,0,23,949,12,86.8,184.2,4.0,0,132,27.5,2,0,3,0.4,81
Cheikhou Kouyaté,3,4,165,5521,102,409.79999999999995,938.8,520.0,5,805,186.6,16,0,8,1.0,910
Chris Löwe,0,0,60,1585,26,125.5,266.0,39.0,0,321,43.0,7,0,1,1.1,165
Chris Smalling,5,1,175,3752,40,71.4,1086.4,325.0,10,872,148.6,15,0,4,12.6,507
Chris Wood,10,1,104,1621,11,203.5,442.0,692.0,20,314,133.8,10,0,1,1.7,518
Christian Atsu,2,4,78,1776,22,340.6,308.8,480.0,5,236,112.9,6,0,1,1.2,300
Christian Benteke,18,9,220,5365,94,891.0999999999999,965.4000000000001,2607.0,18,556,443.6,13,0,16,12.0,347
Christian Eriksen,19,30,417,6377,57,3166.2,2047.1999999999998,2265.0,53,1624,747.9,33,0,0,37.3,781
Christian Fuchs,2,5,161,5020,92,818.5999999999999,1198.6,207.0,18,1049,222.9,12,0,11,7.6,360
Christian Kabasele,4,0,103,3100,58,101.1,845.4,303.0,3,550,125.4,7,0,6,0.5,817
Christopher Schindler,0,2,102,3264,53,107.1,928.0,149.0,15,692,119.1,9,1,6,3.2,164
Ciaran Clark,2,1,64,1745,30,50.8,433.6,190.0,6,317,67.5,4,0,3,1.5,289
Claudio Bravo,0,0,83,2192,27,0.0,337.4,0.0,4,408,33.4,7,0,0,1.7,782
Collin Quaner,0,4,44,1268,23,255.7,209.0,283.0,0,173,74.8,3,0,4,4.8,186
Connor Wickham,2,0,18,412,6,36.2,87.6,132.0,0,59,25.0,0,0,1,0.3,255
Craig Cathcart,0,1,45,1657,27,63.7,345.2,68.0,3,273,47.800000000000004,3,0,4,0.2,807
Cuco Martina,0,2,86,2422,36,353.5,563.0,59.0,5,507,97.60000000000001,8,0,2,1.5,766
Curtis Jones,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,640
Cédric Soares,0,6,187,5309,80,1104.5,1098.0,314.0,13,1065,251.89999999999998,18,0,10,6.7,611
César Azpilicueta,3,11,345,6750,71,958.5,1760.1999999999998,318.0,47,1785,304.3,31,0,5,39.1,174
Dale Stephens,0,3,87,3240,50,272.5,625.8,176.0,2,550,107.7,10,0,6,1.2,63
Daley Blind,1,2,126,2190,17,519.6,599.8,137.0,15,644,125.5,13,0,2,5.6000000000000005,524
Dan Gosling,4,1,108,3307,65,443.9,650.4,442.0,6,508,153.8,5,0,14,0.2,86
Daniel Amartey,1,1,66,2159,42,214.3,335.6,109.0,3,315,66.2,7,1,3,0.4,386
Daniel Drinkwater,2,1,93,2986,51,395.20000000000005,518.2,267.0,4,501,117.7,9,0,6,3.8000000000000003,381
Daniel Sturridge,5,6,86,1316,15,412.70000000000005,339.0,796.0,2,311,154.2,6,0,1,2.5,450
Danilo Luiz da Silva,3,2,100,1340,11,158.1,376.0,176.0,8,398,71.1,9,0,2,2.8,483
Danny Ings,1,1,18,262,0,42.0,57.8,143.0,0,53,24.0,3,0,0,0.4,453
